temp,Column1,label
42.4,3.1071033,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
43.6,3.1071033,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
51.1,3.1071033,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
68.1,3.1071033,Shirt | Pants | Jacket | Long Sleeves | Light Breeze
75.9,3.1071033,Shirt | Shorts | Light Breeze
36.5,3.2221812,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
36.5,3.2221812,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
36.6,3.2221812,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
38.9,3.2221812,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
40.4,3.2221812,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
52.7,3.2221812,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
73.1,3.2221812,Shirt | Shorts | Light Breeze
30.7,3.3372591,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
32.9,3.3372591,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
42.7,3.3372591,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
27.9,3.452337,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
35.7,3.452337,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
38.1,3.452337,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
75.5,3.452337,Shirt | Shorts | Light Breeze
29.7,3.5674149,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Lught Breeze
34.2,3.5674149,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
36.4,3.5674149,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
36,3.6824928,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
4.2,3.7975707,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
4.2,3.7975707,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
45.7,3.7975707,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
49,3.7975707,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
55.8,3.7975707,Shirt | Pants | Jacket | Long Sleeves | Light Breeze
76.3,3.7975707,Shirt | Shorts | Light Breeze
35.4,3.9126486,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
72.8,3.9126486,Shirt | Shorts | Light Breeze
74.8,3.9126486,Shirt | Shorts | Light Breeze
77.1,3.9126486,Shirt | Shorts | Light Breeze
30.4,4.0277265,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
52.6,4.0277265,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
76.1,4.0277265,Shirt | Shorts | Light | Light Breeze
28.6,4.1428044,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
70.7,4.1428044,Shirt | Shorts | Light Breeze 
40.4,4.2578823,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
43,4.2578823,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
31.3,4.3729602,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
64.8,4.3729602,Shirt | Pants | Jacket | Long Sleeves | Light Breeze
73.8,4.3729602,Shirt | Shorts | Light Breeze
76.4,4.3729602,Shirt | Shorts | Light Breeze
26.7,4.4880381,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
40,4.603116,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
56.1,4.603116,Shirt | Pants | Jacket | Long Sleeves | Light Breeze 
76.5,4.603116,Shirt | Shorts | Light Breeze
77.6,4.603116,Shirt | Shorts | Light Breeze
51.2,4.7181939,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
74.8,4.7181939,Shirt | Shorts | Light Breeze
29,4.8332718,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
31.2,4.9483497,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
36.9,4.9483497,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
36.9,4.9483497,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
75.7,4.9483497,Shirt | Shorts | Light Breeze 
31.1,5.0634276,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
40,5.0634276,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
20.5,5.1785055,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
20.5,5.1785055,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
34.8,5.1785055,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
57.1,5.1785055,Shirt | Pants | Jacket | Long Sleeves | Light Breeze
33.1,5.2935834,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
34.1,5.2935834,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
24.2,5.4086613,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
77.4,5.4086613,Shirt | Shorts | Light Breeze
39.4,5.5237392,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
43.8,5.5237392,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
43.8,5.5237392,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf |Light Breeze
72,5.6388171,Shirt | Shorts | Light Breeze
75.5,5.6388171,Shirt | Shorts | Light Breeze
23.9,5.753895,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
48.9,5.753895,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
55.5,5.753895,Shirt | Pants | Jacket | Long Sleeves | Light Breeze
70.2,5.753895,Shirt | Shorts | Light Breeze
77.1,5.753895,Shirt | Shorts | Light Breeze
31.9,5.8689729,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask Light Breeze
34.4,5.8689729,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
60.8,5.8689729,Shirt | Pants | Jacket | Long Sleeves Light Breeze
68.4,5.8689729,Shirt | Pants | Jacket | Long Sleeves Light Breeze
28.9,6.0991287,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
36.4,6.0991287,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Breeze
45.2,6.0991287,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf  | Light Breeze
75.7,6.2142066,Shirt | Shorts | Light Breeze
